follower_id,followee_id,follow_date
2697,7153,2023-11-23
183,6061,2023-12-28
5148,3848,2024-02-09
9023,5305,2023-08-28
4918,2284,2024-06-25
2833,6576,2024-11-24
4149,4109,2024-06-24
5307,9910,2024-10-03
7875,4284,2025-01-09
995,9755,2025-02-22
4107,5404,2023-10-31
959,6003,2025-02-16
6380,2621,2024-12-21
5539,6838,2025-02-04
4079,5893,2023-09-04
3362,1916,2024-12-10
7747,3213,2023-09-24
5094,3336,2024-06-24
3815,9686,2023-08-20
756,6740,2023-08-01
9437,12,2024-04-13
6549,4183,2023-11-08
6447,3945,2024-02-13
1778,2908,2024-03-05
6651,6421,2025-05-02
7259,6003,2024-10-29
5762,126,2024-05-05
4287,9262,2023-07-15
9327,9834,2024-10-29
6023,2059,2023-07-23
6690,9564,2023-09-16
3134,1779,2023-11-05
2362,6550,2025-02-08
2612,7080,2024-07-05
5039,2431,2025-04-25
2592,7656,2023-10-06
789,57,2024-07-12
5597,6317,2023-11-14
794,945,2025-04-17
7525,821,2023-08-03
5880,9044,2024-09-14
2911,991,2024-12-08
7308,3319,2024-08-25
3443,176,2024-02-14
5278,599,2025-06-08
8927,5552,2023-07-17
756,1151,2023-11-03
6939,8061,2024-06-14
3303,9956,2025-02-26
4838,1396,2023-07-31
1514,7360,2024-11-15
9072,1369,2025-06-02
3506,7053,2024-09-23
5768,2275,2024-01-31
2524,7862,2023-12-04
9021,6659,2023-09-13
6505,1927,2024-04-02
2891,7011,2023-11-14
5821,7493,2023-10-03
3854,3685,2023-09-14
7093,3387,2025-02-12
752,3912,2025-03-12
7112,2272,2024-10-19
8421,8903,2025-03-29
9854,4335,2025-02-10
9803,3279,2024-10-27
1240,4031,2025-04-08
6750,1377,2024-07-19
7556,9804,2023-10-08
664,4234,2024-07-05
219,7740,2024-08-14
7706,9609,2025-03-28
157,347,2024-05-23
4708,5319,2025-01-15
5534,5797,2023-11-24
7869,86,2024-03-28
4345,8982,2025-05-29
2740,1871,2024-11-22
5029,7025,2024-05-12
9556,2904,2024-12-25
8944,5086,2025-04-21
7279,3870,2023-09-13
518,9080,2024-04-15
8238,111,2024-05-16
3325,7095,2024-01-08
1335,3387,2024-05-28
2174,8560,2024-09-08
9697,6588,2024-08-29
3882,4798,2024-05-09
310,3308,2024-02-01
3254,927,2024-12-05
6802,4543,2024-04-29
5857,870,2024-11-09
8846,6953,2024-12-02
8271,5366,2024-03-23
1883,6491,2024-11-18
5345,5994,2023-07-18
7789,3843,2024-02-10
4319,2417,2025-02-13
5257,3006,2024-03-12
2992,271,2024-04-21
137,5709,2024-09-23
9407,8037,2024-04-30
4735,8494,2023-07-09
4117,9036,2025-02-18
3553,8672,2025-02-04
249,9394,2024-05-22
6424,70,2025-06-26
9660,5245,2023-11-06
8549,5140,2024-08-10
8729,7825,2024-04-02
9480,7826,2023-12-28
645,8424,2024-04-29
4224,2298,2025-03-31
1311,202,2025-02-11
8833,9934,2024-11-06
2355,257,2024-11-28
6501,8160,2025-01-15
9742,3341,2024-07-17
5757,6755,2025-04-01
2904,6866,2024-03-01
7615,7380,2024-10-16
1749,8687,2023-11-14
4742,3620,2024-09-10
1059,3079,2024-11-04
991,6405,2025-03-20
