post_id,user_id,post_date,content_type,likes,shares,comments
1,864,2024-07-04,image,22,1,10
2,3056,2025-03-11,image,15,4,5
3,5134,2023-07-10,image,26,5,11
4,2683,2023-11-06,video,25,7,12
5,5279,2024-12-14,video,19,5,8
6,5449,2024-01-29,image,19,8,12
7,614,2023-11-26,text,15,7,7
8,1873,2025-05-07,video,29,4,5
9,7724,2024-01-05,image,19,5,11
10,7190,2024-06-01,text,26,7,9
11,5387,2025-02-06,video,15,6,17
12,6943,2024-01-07,text,17,2,15
13,8760,2024-06-11,image,20,6,7
14,245,2024-01-15,image,19,4,11
15,21,2025-01-21,image,18,4,7
16,8586,2024-11-29,image,30,7,12
17,5768,2023-12-19,text,23,4,14
18,3516,2024-06-28,image,13,3,7
19,1911,2024-01-14,image,19,6,6
20,8482,2024-08-22,video,15,6,10
21,5883,2023-08-09,image,24,6,9
22,8553,2023-08-26,image,17,3,12
23,8077,2023-12-21,image,19,5,9
24,1623,2023-09-01,image,18,7,9
25,4315,2024-08-16,image,19,3,8
26,2454,2024-01-25,text,12,7,11
27,2016,2023-12-01,video,12,5,6
28,2801,2024-02-13,video,20,3,12
29,9024,2023-09-01,image,22,4,5
30,9986,2023-11-28,image,22,3,4
31,9984,2024-03-28,text,22,4,9
32,8773,2025-05-02,video,18,4,11
33,6753,2024-12-09,image,23,5,11
34,7454,2024-07-13,text,15,8,10
35,2854,2025-01-10,video,19,3,4
36,2237,2023-10-05,image,22,5,10
37,4177,2025-03-21,video,20,4,10
38,2156,2024-06-08,video,30,5,10
39,9537,2025-02-06,image,22,4,9
40,5699,2024-09-13,image,22,7,10
41,6830,2023-10-23,video,24,2,9
42,8538,2024-05-21,text,17,8,7
43,1887,2023-10-09,text,17,2,8
44,6472,2023-08-24,image,23,9,14
45,8747,2023-09-27,video,24,2,10
46,3771,2025-01-30,text,22,4,8
47,8392,2024-02-12,video,16,9,5
48,2941,2024-06-27,video,18,1,16
49,3491,2024-04-26,image,7,5,6
50,7900,2025-06-22,text,25,7,11
51,307,2025-05-31,video,18,3,11
52,3076,2023-11-14,image,14,3,11
53,1657,2023-07-24,text,19,1,6
54,7245,2024-06-14,text,23,3,18
55,6612,2023-12-11,video,17,2,9
56,6323,2024-01-19,video,21,6,8
57,2693,2024-06-27,video,23,4,9
58,1765,2024-08-26,image,22,5,13
59,276,2024-07-12,image,14,8,10
60,5272,2025-05-23,text,13,7,12
61,7332,2025-03-10,image,21,6,9
62,9594,2025-02-06,image,10,3,15
63,9968,2023-12-29,image,25,7,17
64,5026,2025-01-24,image,23,3,12
65,4051,2024-03-28,image,28,5,8
66,8081,2024-03-03,text,24,11,9
67,3461,2023-10-07,image,22,4,11
68,3836,2024-02-07,video,19,5,11
69,4279,2025-04-05,video,19,2,6
70,1845,2024-03-12,video,20,6,10
71,72,2025-06-27,text,10,9,7
72,7387,2024-04-01,text,12,6,8
73,6863,2025-03-12,image,17,4,9
74,7341,2025-06-29,text,22,2,8
75,9869,2024-05-24,video,22,5,8
76,9488,2025-05-11,text,19,5,6
77,7636,2024-02-27,text,29,5,4
78,1044,2024-06-20,image,21,7,11
79,3043,2025-06-05,video,23,3,4
80,815,2025-07-01,text,15,6,10
81,5623,2023-12-02,image,18,4,8
82,7333,2023-08-23,image,19,5,13
83,310,2024-11-22,image,19,5,10
84,6662,2023-09-18,image,15,1,9
85,4228,2025-02-28,text,19,5,18
86,1878,2024-05-07,image,11,4,6
87,2487,2024-08-05,text,19,3,7
88,6887,2024-08-22,video,12,5,10
89,4836,2024-03-14,video,24,9,6
90,795,2024-10-07,text,20,6,12
91,6787,2023-11-18,image,19,3,16
92,4015,2024-05-14,image,23,4,7
93,7393,2024-05-12,image,20,5,8
94,5354,2023-12-31,image,25,6,10
95,3408,2024-07-06,video,14,4,13
96,975,2024-11-10,image,23,4,7
97,9240,2025-01-19,text,16,8,6
98,4238,2023-07-19,text,23,3,8
99,7249,2023-07-15,image,19,4,13
100,4370,2024-08-31,image,26,4,13
101,8051,2025-05-09,image,13,4,8
102,465,2024-11-18,text,27,4,13
103,5328,2024-08-13,video,12,4,10
104,5416,2025-05-24,image,23,5,11
105,8116,2024-10-16,image,22,5,13
106,288,2024-01-29,image,13,3,8
107,3196,2023-12-25,image,19,3,10
108,9068,2024-09-03,video,28,5,10
109,1993,2023-12-02,text,23,8,9
110,7451,2023-08-09,image,22,6,9
111,2926,2023-10-09,image,25,4,10
112,1121,2024-02-21,text,17,7,11
113,5311,2024-09-01,text,18,7,7
114,447,2024-12-04,video,26,5,11
115,6628,2024-04-14,video,23,1,9
116,2897,2024-07-07,image,21,0,12
117,722,2024-08-01,text,19,2,8
118,2164,2025-01-26,text,22,3,16
119,9544,2025-05-26,text,16,0,8
120,3981,2023-09-23,image,16,7,9
121,4503,2024-05-14,video,15,10,4
122,1726,2024-04-20,image,17,5,13
123,8886,2025-06-04,video,15,6,16
124,3414,2024-06-05,image,25,2,12
125,495,2023-07-12,video,13,2,11
126,948,2024-08-11,image,14,3,11
127,23,2024-08-19,video,21,5,13
128,1129,2023-08-10,video,23,8,10
129,558,2025-05-26,image,29,6,6
130,9809,2024-12-12,video,20,6,8
131,3731,2025-03-11,image,21,1,7
132,5342,2024-01-26,image,17,7,9
133,6999,2025-05-31,video,15,5,8
134,7183,2023-08-27,video,26,8,14
135,7035,2024-08-02,image,17,2,12
136,1657,2024-12-17,image,19,1,7
137,4174,2024-10-29,image,13,1,9
138,5442,2023-08-03,text,20,4,10
139,8999,2025-02-07,image,27,3,6
140,3313,2024-12-07,image,17,8,12
141,8646,2023-10-13,video,26,8,16
142,2325,2024-02-08,video,20,8,7
143,9640,2024-02-10,image,23,2,10
144,5596,2024-05-12,image,28,6,13
145,5985,2025-03-22,image,21,4,10
146,2512,2025-01-10,video,25,6,10
147,363,2023-11-25,image,27,1,8
148,3455,2024-09-08,image,16,4,6
149,2799,2024-08-17,image,20,8,15
150,4621,2025-03-03,video,18,4,13
151,3256,2023-11-14,image,16,8,17
152,1218,2024-06-04,video,25,6,6
153,1486,2023-08-24,video,21,3,11
154,5350,2024-07-01,video,25,9,15
155,7196,2023-12-11,video,18,3,15
156,7751,2024-01-24,video,23,3,8
157,6080,2024-12-23,image,22,7,15
158,9400,2024-04-23,text,19,8,11
159,9641,2023-07-31,text,19,3,5
160,8036,2025-06-24,video,19,6,10
161,1508,2025-07-03,image,34,5,14
162,1004,2025-03-26,video,22,7,12
163,6404,2024-08-31,image,19,5,12
164,926,2024-06-24,image,10,4,8
165,8276,2023-12-20,text,14,2,15
166,6584,2025-02-17,video,24,5,6
167,3928,2025-03-23,text,18,7,7
168,9735,2024-06-06,video,20,4,10
169,986,2025-04-13,image,18,3,6
170,4232,2023-12-08,image,17,4,10
171,5303,2023-09-03,image,26,6,10
172,5292,2024-01-24,video,19,3,8
173,909,2024-09-15,video,15,6,6
174,5052,2023-12-03,video,19,5,10
175,2587,2024-12-21,image,25,4,11
176,9336,2023-09-15,video,13,4,14
177,1332,2024-08-09,video,20,10,9
178,6852,2023-09-09,video,17,4,8
179,9746,2023-11-29,image,8,8,8
180,1807,2024-06-19,video,13,3,7
181,806,2025-06-11,text,26,4,8
182,4148,2023-10-16,image,24,5,11
183,72,2025-02-16,text,21,6,18
184,28,2023-10-30,image,25,4,18
185,8661,2024-10-04,text,18,4,7
186,3984,2025-01-28,text,26,4,14
187,8956,2023-12-08,video,20,5,11
188,7056,2024-08-11,image,14,2,15
189,6691,2025-02-02,image,19,10,7
190,9617,2023-07-10,image,13,5,4
191,3833,2024-02-27,text,21,5,15
192,9868,2024-03-24,image,16,2,10
193,560,2023-07-10,video,19,6,9
194,7958,2024-11-20,video,22,8,10
195,3832,2023-12-30,image,14,0,8
196,7345,2023-07-07,text,16,3,9
197,5172,2025-02-26,video,12,7,10
198,79,2025-06-01,video,22,5,5
199,4930,2024-11-14,video,33,7,11
200,3648,2024-08-15,text,17,2,12
201,1032,2025-03-07,image,18,6,7
202,7382,2025-01-28,image,22,1,13
203,2073,2023-12-30,text,23,3,8
204,6912,2024-02-05,image,15,9,6
205,6089,2024-09-17,image,21,5,14
206,1485,2023-09-29,video,17,3,11
207,5839,2024-11-24,text,17,3,9
208,1551,2023-09-05,image,19,1,10
209,5498,2024-05-12,image,19,2,8
210,4683,2024-02-12,video,23,3,7
211,1830,2024-07-19,video,17,6,8
212,3752,2024-05-20,image,26,4,10
213,6082,2024-01-19,text,11,4,7
214,6602,2024-09-27,video,12,6,12
215,4460,2023-11-25,video,26,6,15
216,3857,2025-01-18,image,11,5,16
217,6183,2024-07-09,text,21,6,6
218,6084,2023-12-05,image,29,3,10
219,7971,2024-09-12,video,24,4,12
220,2095,2024-12-22,image,22,13,8
221,6239,2024-05-16,video,21,2,19
222,3033,2024-09-08,video,21,9,11
223,1549,2025-03-25,image,25,4,10
224,8560,2023-09-17,image,20,6,9
225,65,2023-12-10,image,19,6,9
226,3300,2025-05-16,text,19,3,4
227,4850,2024-01-02,video,17,5,11
228,5640,2025-06-23,image,15,5,8
229,2036,2025-01-20,video,23,6,13
230,5675,2024-07-07,image,21,1,15
231,2229,2024-11-20,image,22,5,7
232,5621,2023-10-15,video,20,8,13
233,597,2025-05-24,image,23,8,9
234,3607,2024-12-28,image,14,6,8
235,3890,2023-11-07,text,23,5,8
236,3507,2024-11-09,image,15,3,12
237,1396,2024-07-17,image,21,4,4
238,9779,2025-03-25,video,25,5,12
239,7530,2024-12-26,video,25,9,9
240,8304,2025-03-02,video,17,5,6
241,453,2024-09-10,image,14,6,7
242,7337,2023-09-23,image,22,6,14
243,2632,2024-09-10,video,20,3,12
244,2187,2023-09-01,image,20,4,11
245,5968,2024-04-12,image,21,7,8
246,6375,2024-03-29,video,19,4,10
247,5359,2025-06-01,video,23,7,9
248,4349,2023-12-13,image,26,4,15
249,1460,2024-11-27,text,19,8,11
250,1943,2024-09-27,text,15,3,5
251,5423,2023-11-26,image,9,2,10
252,5197,2024-04-13,image,13,6,15
253,62,2024-12-20,image,21,4,5
254,1495,2024-07-30,image,24,4,10
255,1181,2024-08-23,video,15,6,10
256,6269,2024-01-14,video,14,4,15
257,2789,2023-07-31,image,21,6,13
258,4637,2025-06-28,video,17,6,11
259,4722,2023-11-17,text,12,3,10
260,5711,2023-09-11,video,21,4,7
261,7703,2023-12-07,image,28,3,13
262,106,2024-05-08,image,22,4,7
263,9347,2024-07-17,video,26,5,5
264,4088,2023-08-23,video,34,4,11
265,9901,2024-05-16,video,18,7,18
266,3926,2023-08-13,image,11,3,16
267,1909,2024-11-22,video,14,4,11
268,2050,2024-01-06,image,19,7,13
269,9467,2024-01-10,video,19,2,10
270,9138,2024-07-30,video,13,6,13
271,8173,2024-03-02,text,21,5,8
272,3905,2023-08-30,text,20,4,9
273,3797,2025-06-13,video,24,4,10
274,293,2025-01-18,text,16,3,16
275,6267,2024-07-06,image,18,5,10
276,6371,2025-02-13,image,19,10,13
277,4861,2024-08-12,image,24,5,15
278,3730,2024-06-22,image,14,6,9
279,7963,2024-05-13,video,30,4,10
280,5511,2023-07-15,image,15,5,8
281,8620,2023-11-02,video,21,6,11
282,6762,2024-08-04,video,21,6,13
283,6111,2024-07-22,video,23,5,13
284,6956,2024-03-01,image,16,3,14
285,107,2024-10-11,video,17,9,15
286,4755,2023-07-16,video,13,6,12
287,5279,2024-07-05,image,19,4,4
288,6409,2023-11-06,text,18,11,10
289,7636,2024-05-21,video,18,8,10
290,1226,2025-06-13,image,25,5,12
291,4251,2024-12-22,image,29,5,8
292,896,2024-12-18,image,24,7,6
293,1621,2024-01-15,text,16,4,10
294,5089,2024-08-20,image,21,3,8
295,5420,2024-08-03,video,17,7,10
296,1386,2023-08-29,image,25,4,11
297,2434,2023-07-07,video,15,5,9
298,1302,2024-03-23,image,27,3,10
299,6859,2024-12-25,video,20,6,13
300,8951,2023-07-28,image,18,3,9
301,8939,2024-01-13,video,18,4,9
302,8785,2024-10-03,image,26,2,14
303,5645,2023-09-11,text,17,5,13
304,5089,2024-05-24,video,23,4,11
305,9261,2024-07-12,text,23,6,11
306,5441,2024-08-25,image,22,4,7
307,7494,2023-08-31,image,15,6,10
308,6292,2023-11-16,video,17,5,11
309,3308,2024-08-20,text,15,4,12
310,8895,2024-08-04,image,16,2,10
311,4709,2024-12-05,image,10,3,11
312,105,2024-01-10,video,17,8,9
313,9690,2024-06-14,image,17,1,5
314,3834,2024-10-20,video,17,9,8
315,396,2024-11-08,video,23,6,5
316,3518,2023-12-23,image,25,2,12
317,3292,2024-10-14,video,17,2,13
318,2011,2024-11-19,text,19,4,12
